Date,Open,High,Low,Close,Adj Close,Volume
2021-12-17,23.080000,25.719999,22.040001,25.129999,25.129999,10567700
2021-12-20,24.360001,25.080000,23.660000,23.910000,23.910000,2989100
2021-12-21,24.000000,25.440001,23.940001,25.250000,25.250000,3177200
2021-12-22,25.530001,25.820000,25.072001,25.510000,25.510000,1078500
2021-12-23,25.330000,26.360001,25.160000,26.360001,26.360001,2221100
2021-12-27,26.559999,26.650000,25.830000,26.120001,26.120001,2510900
2021-12-28,26.040001,26.480000,25.610001,25.709999,25.709999,1021300
2021-12-29,26.000000,26.440001,25.700001,26.309999,26.309999,1566000
2021-12-30,26.350000,27.709999,26.330000,27.480000,27.480000,2706600
2021-12-31,27.400000,27.910000,27.400000,27.559999,27.559999,1275200
2022-01-03,27.820000,27.820000,26.570000,26.799999,26.799999,1844400
2022-01-04,26.559999,27.070000,25.725000,26.250000,26.250000,1545200
2022-01-05,25.889999,26.514999,23.920000,24.240000,24.240000,4619900
2022-01-06,24.049999,24.799999,22.709999,23.309999,23.309999,2605900
2022-01-07,23.260000,23.540001,22.389999,22.530001,22.530001,2280300
2022-01-10,23.100000,25.520000,22.490000,25.500000,25.500000,5721000
2022-01-11,25.290001,25.770000,23.670000,24.820000,24.820000,3222800
2022-01-12,24.959999,25.020000,23.934999,24.770000,24.770000,2555500
2022-01-13,25.000000,25.000000,23.843000,23.990000,23.990000,1490000
2022-01-14,23.620001,23.719999,22.299999,23.280001,23.280001,2479500
2022-01-18,22.580000,22.860001,21.788000,21.910000,21.910000,2158100
2022-01-19,22.049999,22.940001,21.440001,21.600000,21.600000,1311300
2022-01-20,21.730000,22.389999,20.490000,20.530001,20.530001,1948200
2022-01-21,20.260000,21.190001,19.500000,20.959999,20.959999,3036200
2022-01-24,19.650000,22.645000,19.650000,22.000000,22.000000,3330600
2022-01-25,22.000000,22.309999,21.510000,21.719999,21.719999,2017500
2022-01-26,22.500000,22.730000,21.070000,21.200001,21.200001,4822300
2022-01-27,21.420000,22.309999,20.350000,20.469999,20.469999,1424800
2022-01-28,20.480000,21.340000,20.040001,21.030001,21.030001,1057200
2022-01-31,21.260000,22.559999,21.230000,22.480000,22.480000,2219100
2022-02-01,22.500000,23.309999,22.139999,22.889999,22.889999,1651400
2022-02-02,23.049999,23.080000,21.860001,21.959999,21.959999,1620900
2022-02-03,21.469999,21.889999,20.290001,20.370001,20.370001,1319800
2022-02-04,20.420000,21.620001,20.308001,21.490000,21.490000,1289200
2022-02-07,20.200001,20.969999,19.250000,19.700001,19.700001,4143200
2022-02-08,19.510000,20.450001,19.417000,20.389999,20.389999,1098500
2022-02-09,20.680000,21.500000,20.680000,21.150000,21.150000,2069900
2022-02-10,20.680000,22.219999,20.620001,20.740000,20.740000,1965700
2022-02-11,20.570000,20.945000,19.290001,19.379999,19.379999,1257500
2022-02-14,19.250000,19.750000,18.815001,18.830000,18.830000,1133000
2022-02-15,19.180000,19.600000,18.593000,19.400000,19.400000,1873900
2022-02-16,19.170000,19.360001,18.400000,19.000000,19.000000,1145700
2022-02-17,18.670000,19.040001,17.080000,17.290001,17.290001,1510200
2022-02-18,17.450001,17.485001,16.340000,16.580000,16.580000,1742200
2022-02-22,16.120001,16.910000,16.042999,16.360001,16.360001,2533700
2022-02-23,16.459999,16.920000,16.170000,16.410000,16.410000,3504200
2022-02-24,15.490000,16.780001,15.280000,16.719999,16.719999,5885300
2022-02-25,16.770000,16.860001,16.010000,16.490000,16.490000,2580900
2022-02-28,16.420000,16.709999,16.020000,16.430000,16.430000,2987400
2022-03-01,16.200001,16.450001,14.350000,14.530000,14.530000,4374100
2022-03-02,14.630000,14.890000,14.090000,14.810000,14.810000,2611200
2022-03-03,14.940000,14.980000,13.830000,13.980000,13.980000,4010000
2022-03-04,13.820000,13.840000,13.040000,13.440000,13.440000,3389500
2022-03-07,13.640000,14.230000,13.240000,13.560000,13.560000,4563700
2022-03-08,13.640000,14.530000,13.350000,14.040000,14.040000,5317800
2022-03-09,15.930000,18.850000,15.900000,17.290001,17.290001,9222100
